Nama,Tanggal,Rating,comment
Dzaky Taqwara,27 Juli 2021,5,Aplikasinya bagus banget apa lihat ke bawah sudah gue bilang bagus
dino hitam nibos,6 Agustus 2021,5,woi siapa si pembuat aplikasi tiktok aplikasinya bagus banget
Zank Ard,7 Agustus 2021,5,"GBHNGNVMAPYTT Masukan kode yang di dalam kurung ini untuk pengguna yang baru instal tiktok,di jamin bisa dapat 120.000 cash,untuk pengguna baru"
Muhammad Dwi Prastiyo PRAS,31 Juli 2021,5,Aplikasi ini bagus sekali....
RIZKI GUSTI GAMING,29 Juli 2021,5,Tiktok buat saya terkenal wajib download kenapa masih lihat bawah
Putra pemas Permas,3 Agustus 2021,5,aku nyesel banget pilih aplikasi ini Tapi bohong aplikasi ini bagus banget
Muhammad. Rafi Haikal,2 Agustus 2021,5,Aplikasi ini sangat bagus
Khoirul Fathoni,4 Agustus 2021,5,Aplikasinya bagus buat menghibur bila gabut donwload aja tiktok sangat sangat bagus kenapa lihat lihat ke bawah kan sudah di bilang bagus
Abu Zaky,2 Agustus 2021,2,Halo nama saya asep
1Zakaria,5 Agustus 2021,3,"Jujur saya pengguna tiktok yang pasti setiap hari buka, tapi tolong tiktok pembatasan karakter comment itu jangan dikit banget, kalau 200 doang tu kek lu nyusahin orang hidup untuk menyampaikan sesuatu, tolong tambah minimal ya jadi 500 karakter kek di ini aplikasi PlayStore ini, dan tolong saya sumpah ..."
Legacyfx.,25 Juli 2021,5,"Kenapa akun saya di ban, padahal sudah mau 100 followers gua sudah follow banyak orang dengan gampangnya kau ban, tolong untuk pihak tiktok segera mengembalikan akun saya Nama akun Areli|Evan. Tolong untuk pihak tiktok mengembalikan akun saya, saya sudah memai semua aturan, sekali lagi mohon kembalikan ..."
Sifha Sifha,29 Juli 2021,5,Aku suka sama tiktok aplikasinya bagus banget...
Dari Doang,5 Agustus 2021,5,ini jelek canda ?????????????????????????????????????????????????? kenapa lihat kebawah kan kata aku bercanda
kurnia cwantwix,15 Juli 2021,1,"Dulu saya sepakat anak saya aktif di tiktok, anak bisa mengembangkan bakat dan imajinasi disini. Tapi sekarang, rasanya ingin saya hapus aja aplikasinya. Sama sekali enggak pantas untuk semua kalangan. Banyak konten pornonya. Sudah saya laporkan, tapi tanggapannya malah ""tidak melanggar panduan komunitas kami""."
Muhammad Jurais haq,19 Juli 2021,3,"Ada bug. Barusan saya salin link video, terus saya kirim ke temen, nah pas temen saya buka video nya dari link yang saya salin tadi, video beda dari video awal yang linknya saya salin tadi. Mohon untuk segera di perbaiki. Karena agak annoying."
Raisya Aulia Fitri,6 Agustus 2021,4,"Umm hai, kenapa ya sudah 3 hari ini ngelag? Video nya tidak bisa di putar padahal jaringan internet saya baik baik saja, tolong di perbaiki ya^^"
Anik nadya,18 Juli 2021,5,"Aplikasi tiktok ini menghibur banget sih, pas lagi bosen"" gitu buka aplikasi tiktok ini terhibur dan jadi tidak bosen lagi, apa lagi pas tidak ada mood untuk beraktifitas buka apikasi tiktok mood jadi balik lagi. Pokoknya tiktok terbaik . Tapi aku saranin untuk kalian jangan keseringan buka tiktok,main hp"
Salsa Billa,21 Juli 2021,5,"Aplikasinya super duper bagus,ini benar benar menghibur,kalau misalnya sedang sedia kalian wajib download ini dijamin bahagia,banyak konten-konten bermanfaat,menghibur,dan pasti ada yang horor juga dong.Pokoknya kalau kalian download enggak bakal kecewa"
Percoken Indra,5 Agustus 2021,1,"Enggak jelas system panduan komunitasnya, katanya enggak boleh upload yang berbaur kejahatan, kekerasan dan konten sexsual. tapi banyak yang masih banyak konten yang menonjolkan t*t*k dan m*m*k masih aman2 aja.kok gak dihapus, gua yang upload video biasa2 aja di hapus dan dibanned kontol. Konsisten dong."
Irfan Lubpi,4 Agustus 2021,5,Tolong bantu reset kata sandi saya . Hapus email dan no hp yang terkait di akun saya . sebab akun saya telah di retas oleh orang lain . dan sekarang saya tidak bisa login . tolong bantuan nya . semoga ada tanggapan . username PITEKLUBPI
M miftakhur Zaqi,8 Agustus 2021,5,Hallo admin tiktok saya sangat menyukai aplikasi ini saya sudah aktif di tiktok dan Alhamdulillah hasil yang aku dapat kan banyak sekali mulai dari like video banyak follower banyak aku ingin banget verified
Zaqiyatuz Zahro,8 Agustus 2021,3,"Tolong ya saya sudah pencet not interested ke beberapa video tapi makin banyak yang muncul di fyp saya. Tolong buat command ""not interested."" Itu berguna. Btw akun saya qiyaaw"
Sans01,7 Agustus 2021,4,SEMOGA POSTINGANKU FYP TERIMAKASIH
Jhnna.,7 Agustus 2021,2,Jujur ya kesel banget kenapa sih tiktok setiap aku login akun pasti di blok sudah 4 akun saya di blok saya sangat kecewa padahal dulu akun saya baik baik saja tapi kenapa sekarang seperti ini padahal saya baru login di akun saya saya belum buat pelanggaran apa apa tapi langsung di blok
Sami Aji,21 Juli 2021,5,Halo devoloper tiktok... mohon sarannya.. kalau boleh sih.. misi putar point di perlancar dong sedikit sedikit.. jangan cuma 7 hari aja.. agar pada betah akun nya... enggak pindah pindah... sekian terimakasih.. semoga dapat di kabulkan.. amiiin.
HARDI ARDIANSYAH,25 Juli 2021,1,Admin TikTok yang SANGAT tidak kompeten saya rasa. kerjaan nya ngeBlokir akun akun yang dilaporin pihak tertentu dengan alasan melanggar panduan ... harusnya admin TikTok bisa membedakan mana konten yang melanggar mana konten yang tidak disukai karena selera orang... karna dilapangan banyak sekali konten.
BONAY YUNI,28 Juli 2021,5,"Woyy Admin tiktok seluruh jabodetabek tolong dong masukin ke fyp/untuk anda konten-konten saya ke orang lain bolangg_cibuburjaktim.98 saya sudah main tiktok dari 2015 sampe sekarang konten-konten saya jarang banget masuk fyp/untuk anda konten-konten saya ke orang lain, selagi tolong masukin ya."
Saghrillah Rahma,8 Agustus 2021,5,Sip. Dulu agak gimana gitu pakai tiktok. enggak mau download. Setelah coba ternyata malah lebih banyak edukasi trik dll yang bermanfaat yang ditampilkan di fyp. Thanks tiktok untuk inovasi luar biasanya
Alif aditiya,17 Juli 2021,5,Bagus banget Gamenya pokoknya seru ...
Aminah aminah,7 Agustus 2021,5,Saya merasa terhibur dengan adanya tiktok kadang saya penat bosan dengan pekerjaan yang melelahkan saya hibur diri saya dengan buka tiktok sekaligus memperbanyak teman dan saudara😊
Resla Zety,23 Juli 2021,4,"Aku suka aplikasi tiktok karena tempat curahan hatiku,,selain itu menambah banyak teman dan saudara,,,terima kasih tiktok"
Suchrisno Ajah,8 Agustus 2021,2,Kecewa sama developer tiktok bikin systemnya tidak bisa bedain akun real atau palsu Yang real susah masukin kodenya mending gedein coin kehadiran sama koin nonton aja jangan revisi kalau tidak bisa bedain mah
Rika Dedek,5 Agustus 2021,5,Aku senang bermain. Tiktok ini lah hiburan yang tidak membosankan selalu ada versi terbaru untuk filternya terus nambah pengalaman juga
Hanzz,2 Agustus 2021,5,"Bagi yang enggak ada tiktok koinnya, lu pakai akun alamat Amerika tidak, jadi enggak ada koinnya..."
Vicky Adi,5 Juni 2021,2,"Kenapa saya tidak bisa memasukan kode undangan, padahal saya kan pengguna baru, pertama keluhannya adalah tidak lolos control penipuan, keluhan kedua kesalahan jaringan harap coba lagi. Itu saja keluhannya. Mohon diperbaiki dong pihak tiktok"
Maharani Aulia Rahma,15 Juli 2021,2,Kok enggak ada tanda koinnya ya? Pertama tama ada lama lama hilang gimana sih padahal sudah ada koin nya😭
Brunu Cabang,3 Juni 2021,5,"Jelek sekali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,...................................................................??????????????????????????????????????????????????????????????????????????????????????????????????????????tapi bohong hayuk"
Nafisa putri,5 Agustus 2021,1,Jelek banget dong tapi kembali terus tolong ya yang nyiptain tiktok tolong di perbaiki ok
Menma,25 Juli 2021,5,"Aku mau tanya kok, tidak bisa aku pakai kaya kaset kalo dibuka"
Pembangunan NKRI,18 Juni 2021,1,Kenapa sangat sulit memasukkan kode undangan. Pengguna baru kecewa untuk kebajikan tiktok . 😓 Lebih baik besarkan hadiah menontonnya dari pada undang teman sudah dibagikan kode undangan tetapi tetap tidak lolos kontrol penipuan .
طالب,26 Juli 2021,5,"Bagus sekali aplikasi tiktok ini, di saat aku sedih senang, aku bikin tiktok"
Hindun Sulistiyowati,21 Mei 2021,4,"Apa iya aplikasi tiktok ini bisa menghasilkan uang,? Klau emang bisa gimana cara melihatnya dan gimana cara mengambilnya,? Tolong yang paham dijawab ya Terimakasih😍"
Mira Asmara,25 Juli 2021,5,Semoga tiktok digunakan untuk kebaikan jangan joget berlebihan
novika laura,23 Juli 2021,1,"Mana ini adminnya kok enggak ada yang dibalas keluhannya, apakah uangnya sudah habis?"
Denilson Dsb,24 Juli 2021,4,Kurang bagus kenapa saya bilang kurang bagus karena tidak bisa Download videonya jadi diperbaiki lagi ya 😁😁😁😎😄😄😄😄😄😁😁😁😄😁😁😄😁😄😁😄😁😄😁😄😁😁😄😄😁😁😄😁😄😄😁😄😁😄😁😄😁😄😁😄😁😄😁😄😁😄😁😄😆😄😆😄😄😆😄😆😄😆😄😆😄😆😄😁😄😁😄😁😄😆😄😆😄😆😄😁😄😁😄😁😄😁😄😆😄😆😄😆😄😆😄😆😆😄...
Kecoa Loncat,25 Juli 2021,5,Untuk pemula lumayan tidak sulit untuk menggunakan aplikasi ini menghibur
Siti Nuryanti,4 Agustus 2021,4,Tiktok bagus bisa menghibur semua orang
Tandi Saputra,31 Mei 2021,4,"Kemana koinnya, kok tiba tiba hilang begitu saja? Setelah saya instal aplikasi tiktok lite nya. Saran itu aja aja keluhannya"
Ucu Mencrang,6 Agustus 2021,5,"bagus pokoknya mah,, gak bkalan rungkad kalo dah kenal dunia pertiktokan mah 😁😁"
Tio 123,27 Juli 2021,1,Woy anjing kenapa gua gak bisa daftar goblok padahal kalo bisa gua kasih bintang 5 tiktok goblok
Diana Nova,7 Agustus 2021,5,Bagus dan bisa menghibur makasih tiktok
ica marysa Risnandar,19 Juli 2021,5,Semoga lebih baik. Untuk rakyat.sebangsa & senegara.
CAMELIA TV CREATOR,9 Juli 2021,5,Tolong dong koin hadir sama nonton 4O menitnya adakan lagi... Jangan event undangan terus yang di besarkan.. Gara gara kode undangan banyak yang bikin akun palsu untuk curang Dan bug.. Akibatnya kita yang akun original selalu error dan dikira akun penipuan
MiladNairoukh Milla,25 Mei 2021,2,"Aku beri bintang 2 aja dulu,heran aplikasi punya ku ,ko filter x ,banyak yang enggak bisa dipake sih. Tolong jawab ????"
SuMi SUMI,31 Mei 2021,5,Aku ksih bintang lima aplikasi ini bisa membuat aku kenal dengan semua orang walaupun enggak .berhadapan .pertama aku posting aku duet dengan orang yang ditiktok aku dapat views 2319 😊🇵🇱🇦🇪
Air Eti Rohaeti,2 Agustus 2021,5,Alhamdulillah aku dapat ilmu yang bermanfaat 🙏🙏🤗🤗
Aryangga 599,18 Juni 2021,5,"Terima kasih tiktok, aplikasi yang bagus bisa lihat kayes joged"" dan cewek lainya, live streaming nya juga mantap mantap kurangan mereka pakek BH aja tiktok terima kasih ya ...."
Yohana Paulina,22 Juli 2021,5,Kok ini enggak bisa download gimana ini tolong diperbaiki ya mohon kerja sama
Syahrul Hidayat,16 Juni 2021,3,"Kenapa ya tiktok kalo sudah di posting videonya agak buram? Padahal di galeri sudah bagus, tapi setelah di post jadi buram gak jelas"
Alvina Dmynty,22 Mei 2021,1,Kenapa aku mau masuk akun ku lagi gak bisa?alasanya kata sandi salah padahal sudah bener. Tolong diperbaiki balikin akun aku lagi nama akunku alxxz3 Tolong segera diperbaiki Terimakasih
Yani Maryani,6 Agustus 2021,5,Keren banget bikin terhibur😘😘😘I love u tiktok
Sityai Sumyati,7 Agustus 2021,5,Sangat memuaskan bagus sekali
Albar Muhammad,12 Juni 2021,5,"ibarat sebuah pisau, baik dan buruk tergantung usernya ....alhamdulilah tiktok memberi banyak ilmu dan pengetahuan sekaligus hiburan"
Elly Mho,29 Juli 2021,5,Suka banget bisa nambah teman juga
Manches Man,19 Juli 2021,5,tiktok ini menghibur banget kalian harus download sekara juga
Bayu DharmaTrinanda,12 Juli 2021,5,"Terimakasih tiktok,karena hiburan diaplikasi ini membuat penyakit saya mulai membaik dan saya juga sudah bisa"
Wahyu Somo95,5 Agustus 2021,5,Menyenangkan dan menghibur
Indah Indah,9 Juli 2021,1,"Tidak muncul logo koin, sudah di restart berkali kali tapi tetap tidak bisa"
bujang merana,26 Juli 2021,5,sudah dikasih bintang sekaligus 5
Vhina Afrillya,19 Juli 2021,5,Saya kasih bintang Lima tolong perbaiki tiktok saya dan beri koin
Dedy Arisandy,17 Juli 2021,5,Saya kasih bintang lima tapi tolong perbaiki dimasalah saya ada yang kurang tentang coin dan undangannya. makasih
Ridwan ARFN,26 Juni 2021,1,Sangat buruk.. saya mencoba menonton video lama tetapi tidak mendapatkan point hasil menonton sudah sering seperti ini..
Ummy Demariz,29 Juli 2021,5,Terhibur banyak ilmu yang kita dapat 🥰🥰🥰
Sandi Ahmad Yusup,13 Juli 2021,5,"belum pernah fyp, mudah2 fyp sudah kasih bintang 5 piraku my tiktok priabaik__"
Ende Lilis,20 Juli 2021,5,Sangat bagus dan disukai banyak orang
Putra _Syu,29 Mei 2021,5,Saya kasih bintang 5 karena aplikasi ini sangat menghibur dan informasi-informasi yang update saya dapat kan dari aplikasi ini
Priska Nora,5 Juni 2021,5,Keren bet sih ini maaf ya sudah enggak tau bilang apa yang penting aku kasih bintang 5 karena aplikasi favorit ku😉😉😉
Ali Mudhofir,21 Juli 2021,5,Lumayan buat penyaluran bakat
Tara Tera,7 Agustus 2021,3,Saya kasih 3 bintang dulu baru mau coba kalau Ok saya tambah lagi bintangnya
lina lovers,28 Juli 2021,5,Aplkasi paling keren menurut aku 💜💜
Vicenti King M'1,15 Juli 2021,5,"Aplikasi ini bagus banget, sangat bermanfaat?????"
Muhammad Fauzi,21 Juli 2021,1,Lo kok ngapus komen gua kemaren enggak terima apa hah
Aldy Hilman,28 Juli 2021,5,Menjadi tau yang belum pernah saya tau makasih tiktok
Rita Soares,16 Juli 2021,5,Hallo nama saya Graça saya hanya mau bilang kalo aplikasi ini bagus😊👍kasih 5 bintang yah
Binsay Queen,13 Juli 2021,5,Saya sangat suka aplikasi ini dapat menghibur dan banyak juga info info yang positif ❤👍
Nengsy Marlita,22 Juli 2021,4,Tanda koinnya hilang padahal koin sudah banyak.
Djzait Fishing,3 Agustus 2021,5,Koin hilang sendiri gimana ni
Deny Kinger's,5 Agustus 2021,5,Saya beri bintang lima
Cu Bayu,27 Juli 2021,5,Kembalikan Event Nonton 40 Menit
ils su,27 Juni 2021,5,Yang penting happy. Dan tidak merugikan orang lain.... Selalu bikin tersenyum bersama tiktok😘
Neng Heni,2 Agustus 2021,5,Alhamdulillah aplikasi keren dan bagus
Budi wibowo87,26 Juli 2021,5,Saya seneng pokoknya
Ida Indonisia,2 Agustus 2021,4,Aplikasinya sangat bagus
Elis Warsih,27 Juni 2021,5,Terima kasih tiktok saya ada untuk hiburan tidak mumet lagi dan jadi banyak teman teman terima kasih 🙏🙏🙏🙏🙏
Rizki Rizki,29 Juni 2021,5,Sangat bagus dan menarik sukses terus dan beri pendapatan bagi orang yang tidak mampu
y Marlion13,21 Juli 2021,1,Aplikasinya bagus banget
Wulan Sari,20 Juni 2021,2,Assalamualaikum.. Saya ingin coba .pakai aplikasi tiktok ingin bisa ..Tapi bagus ya🙏🙏
ochienk thulend159,12 Juli 2021,5,Bagus dan sangat membantu
Marlina Uneng,30 Juli 2021,5,Asik banget tiktok gua suka🙏
KEMAL RAMDHANI,14 Juli 2021,5,aplikasi keren untuk hiburan
Mas Bocor,21 Juni 2021,3,Aku kasi bintang 3 dulu karna akun aku yang dulu terkena blokir aku mohon pulihkan akun aku yang dulu baru aku kasi 5 bintang
Yuyun Yunengsih,29 Juli 2021,5,Sangat memuaskan
Navya Nathania,19 Juli 2021,5,Aku suka tiktok
Ayu Astuti,1 Juli 2021,5,Terima kasih tiktok jadi saya ada hiburan di saat saya sedih ataupun sebaliknya
whatever you think,18 Mei 2021,1,Kenapa tiap saya bikin akun tiktok foto profil saya selalu dihilangkan dengan alasan ada pelanggaran???
Nunung Yuningsih,3 Agustus 2021,5,Sangat menghibur👍
ALKALIN ACHMAD,12 Juni 2021,5,Cari angka 0999999999999999999999999999999990999999999999999999999999 999999999999999999999999999999999999999999999999999999999 9999999999
Ferby Ansyah,25 Juli 2021,2,Dark Modenya jadi tidak ada
Moga Sukses,2 Agustus 2021,5,Cuman suka aja
Wahyu Durahman7781,2 Agustus 2021,3,"Lumayan menghibur,😉😉😉"
Zwleikya Amaral,19 Mei 2021,5,Aplikasi ini bagus dan bisa ngehibur kita cepetan download aplikasi ini
Elly famell Famell,14 Juli 2021,1,Tiktok banyak informasi
noor noor,5 Agustus 2021,5,saya suka banget
Hilmi Hafidzz,28 Juli 2021,4,Fyp kadang kadang
Ananda Vergiawan,2 Juni 2021,1,Iklan ini aplikasi jangan terus-terusan. iklan ini terus keluar😡 ganggu aja
Bunda Evie Tahir,14 Juni 2021,5,Tiktok menyediakan wadah bete hiburan di masa pandemi ini
Arman Gulo Channel,20 Mei 2021,3,3 bintang aja dulu soalnya koin eventnya gak muncul diaplikasinya Kalo sudah muncul saya kasih 5 bintang bila terperbaiki
Muhamad Aimarrizky,16 Juni 2021,5,Sayang aplikasi tiktok yang bisa dapat duit di luar negeri enggak bisa
Arlond Christensen,31 Mei 2021,1,"Logo koinnya tidak muncul , padahal saya user baru . tolong diperbaiki lagi."
RakaBego_,11 Juni 2021,5,"Aplikasinya sudah bagus , cuman banyak pengemis minta2 point tiktok wowkwoowok . miskin amat jadi orang ~ mbak rosting"
Hh Hh,7 Juli 2021,5,"Saya sebagian dari penonton tiktok,tiktok yang membuat saya tersenyum"
Afef Pudin,14 Juli 2021,2,Tiktok bisa bertukar informasi sesama kawan kita
Rahmat Rahmat,16 Juni 2021,5,Bagus..tapi yang saya cari enggak ada poin enggak muncul kenapa ya..
Marsitha Kusnadi,16 Juni 2021,5,"alhamdulillah, sangat menghibur,,, bagus"
Duyeh Iyenk,11 Juni 2021,5,Kasih yang terbaik buat aku ya. jangan sampai kecewa
War Wer,31 Mei 2021,5,Semoga setiap konten yang gue bikin selalu FYP yaaa 🥰🥰
Play Station,13 Juli 2021,4,"Baik, dan menghibur, bisa buat silaturahmi 🙏🙏"
Tina Oman,8 Juli 2021,2,Maaf dulu yah aku kasih dua bintangnya karna tiktoknya agak lemot
levi. Ackerman,16 Oktober 2020,5,aplikasi untuk orang gabut
Anggitawulan Ndari,11 Januari 2021,5,Bagus banget
Adul Ajah,3 Juni 2020,5,Bagus
Lannora Harahap,29 Mei 2020,5,Sangat menghibur
citra nadzwa putri,#############,5,Ini jelek banget mending di like tapi bohong
IRWANSYAH 01,#############,5,Bagus
marsella anggreani,8 April 2020,5,tiktok
Pengguna Google,23 Maret 2018,5,Suka.
Experimen TV.,27 Juni 2018,5,tiktok ini sangat bagus kalou kamu main tiktok jangan pake yang saru sara
Jun Banana,#############,5,Balikin Akun Bayu
Yunieta yunie,#############,5,I like
naomi kim,#############,5,oke
Revha Jamhari,26 Juli 2019,5,rekomendasi banget
zakia dewi,#############,5,good
Junaidi Junaidi,#############,5,Halo nama saya rani saya suka sekali dengan aplikasi ini aplikasi ini bagus sekali
Nabilla Nurasiah,15 Maret 2018,5,tiktok ini sangat keren kak
Ghiaccio White Album,#############,1,ini aplikasi jelek sumpah
Pengguna Google,26 Maret 2018,5,Keren
MR. Lexy,3 Januari 2021,5,Aplikasi sangat bagus
Pengguna Google,29 Juni 2018,5,Bagus
piomas nainggolan,#############,5,Ini aplikasi bagus banget
Fauzi Kurniawan,#############,5,Ok
Pengguna Google,28 Juni 2018,5,Aku suka tiktok tapi Fans ku enggak bertambah - tambah
Andi Zul,31 Mei 2018,5,Pokoknya bagus
erialdo saputra sagala,13 Oktober 2018,5,Mantap
Abi Didi Suratno,#############,5,Oke
Human Manusia,#############,1,Jelek Banget
Sahwa Nurohmah,4 Juni 2020,5,suka
rizky hidayatul,23 Mei 2018,5,wah gila sih
supri yadi,#############,5,Saya suka tiktok
Dayat Rrnal,14 Oktober 2020,5,bagus
Tuti Ameliah Ameliah,#############,5,Seru banget
Pengguna Google,#############,5,Keren
Deni Suhartono,#############,5,Sangat puas
Zahira 212,17 Oktober 2019,5,Bagus
Pengguna Google,13 Juni 2018,5,"tiktok sangat bagus dan bisa ketemu cowok"" ganteng"
Rahman Gaming,10 April 2018,5,Sangat seru dan memuaskan
Kurnia Channel,#############,1,Kurang suka sama aplikasi ini
Muhammad Rizky Fadillah,#############,5,Tolong perbaikin aplikasi ini aku enggak bisa buka nanti aku kasih bintang lima
salva satria nugraha,11 April 2020,5,Bagus bangat tidak akan nyesel donwload tiktok
Rivan Adriansyah,#############,5,Saya senang
Nuraisah Siti,15 Juli 2020,5,Ingin mengikuti tiktok
Nurasya Nasir,#############,5,Bagus banget
Yusuf Arrahman,5 Juli 2021,1,kode undangannya tidak bisa dimasukkin tolol
Akun New,#############,1,aplikasi payah jangan download
Pengguna Google,2 Maret 2019,5,seru banget main kalo lagi mood
Paisal Satri,21 Oktober 2020,5,Saya suka aplikasi ini
Muhamad Abi Januardi,22 Maret 2020,5,Mantap bagus sekali ya
Rahmadiansyah Rahmadiansyah,7 Mei 2018,5,Suka banget
Ferdian Dian,#############,5,Aplikasih ini sangat bagus sekali
Erfan Yd7iuo,30 Mei 2018,5,5.star like just for you
Lismawati Manalu,2 April 2020,5,Sangat baik
Fahri Fachrudin,21 Mei 2020,5,Bagus
Rahman Ibrahim,#############,5,Keren
Jajang Nurjaman,19 Juli 2021,1,Aplikasi tidak jelas tidak bisa download
putraa zedhenk,20 Juni 2019,5,keren tiktok
langat Feterus,#############,5,lucu
Kunyuk Tau,27 Juni 2021,1,tiktok makin kesini makin kaya tai
Arus Iiss,8 Mei 2020,5,Keren
Didin Sudrajat,7 Agustus 2020,5,Sangat keren
Abi Aditya,#############,5,Saya suka tiktok Dari saya kelas satu saya suka main tiktok Sekarang umur saya 11 tahun Saya masih main tiktok Saya kasih bintang 5 buat tiktok tiktok paling menarik
Taufiqoh Hidayah,10 Maret 2018,5,Bagus keren
mimi saipah,#############,5,Aplikasi ini jelek banget tapi bohong
Nada Maharani,10 Mei 2020,5,Bagus banget saya suka sekali dengan aplikasi ini filternya bagus bagus semua karna aku suka banget dengan aplikasi ini saya kasih bintang 5
Syahdana Yustiar YT,#############,5,bagus
Samaung J1ace,#############,5,Bagus banget
akman danuri,#############,5,BAGUS BANGET 😄😄😄😄😄😄😄😄😄😄😄😄😄😄😄
fcking bella Bhella 3003,2 Agustus 2020,5,Saya suka dengan aplikasi ini sangat menghibur dan kreatif banget saya suka 🎉
Anggiat Nainggolan,#############,5,mantap
Heri Prasetyo,#############,5,Sangat menghibur
Pengguna Google,22 Mei 2018,5,tiktok Ini Sangat Bagus
Intan Vatma,#############,5,"Aku suka banget sama tiktok karna kita bisa ketemu k-pop kayak BTS, BLACKPINK,ITZY DLL"
Ibu RT,#############,5,Idih keren
Mifta Hayatun,8 Januari 2021,5,Ini tiktok bagus banget sumpah kalian harus download
MISHELLE PRETTY VICTORIA,28 Maret 2018,5,Bagus
hadii 03,25 Januari 2020,5,Bagus
Rara Artika,15 Januari 2021,5,Bagus banget cuma kurang suka di watermarknya aja
Fani Modeong,27 Juli 2020,5,Baik
nury trianawulandari,6 Juni 2019,5,AplikasiNya Bagus😁
Hernanda Iqmal,#############,1,report orang rasis dibilang tidak ada kesalahan. Giliran saya kasih bintang 1 kok saya dibanned. Lawak tiktok
Pengguna Google,#############,5,Aplikasi terbaik😎
wasis Ponorogo,8 Agustus 2019,5,bagus dan menarik
Juanda Fanani,7 April 2019,5,keren dan bagus
Pengguna Google,13 Mei 2018,5,I Like You tiktok
Mas arif oke,#############,5,Mantap bos
Sri Utami,3 Januari 2021,5,Aplikasi yang menghibur sekaligus menghasilkan🙂🙂
Pengguna Google,27 Mei 2018,5,tiktok memang mantap
Hasriyani Hasman,10 Oktober 2020,5,Tiktok keren
Pengguna Google,4 Mei 2018,5,Sangat bagus
Nur Hayati,17 Januari 2020,5,Lumayan
Ray Gilang,25 Juni 2021,1,tiktok busuk
rara anggriani yang alay dan lebay begitu,29 Mei 2019,5,suka sama lagunya
Arzaqina callysta,9 Mei 2018,5,Aku suka sekali
Evrin dinoto,29 Oktober 2020,5,Asik
Pipit Png,29 Maret 2020,5,Aku suka banget
Jheny Himmatil izza,26 Mei 2019,5,ayo pilih tiktok
Neneng Kurniati,#############,5,Bagus................
Tata AD,25 Juli 2021,1,sudah tidak bisa dapat point bye banget
RᎪYᎠᎬᎡ- -ᏚᏆᏞᎪK,#############,5,Like🤗
Elsa Meliayany,#############,5,Bagus banget wajib download
Emelda Hambali Putri,2 Juni 2020,5,aplikasi Bagus
Nuraini Nur,#############,5,Bagus
JakaGeming AnjayJancok,31 Maret 2020,5,Mantap kali
Andi Firmansyah,17 Oktober 2020,5,Aplikasi yang paling mantap..
Raflimuflihun 123,#############,5,Bagus
Pengguna Google,13 Oktober 2018,5,Keren dan lucu
Pengguna Google,#############,5,Good
Muhammad Hafiz,#############,5,Hebat
Sury Booysh,1 Oktober 2020,5,Saya suka
Albi Al qolbi,14 Juli 2020,5,aplikasi yang sangat menghibur
Pengguna Google,#############,5,sangat bagus
Malisa Agustina,17 Maret 2020,5,"Suka Aja, Menghibur"
Pengguna Google,25 Maret 2018,5,Coba di coba akhirnya ketagihan TikTok good to cute*
Pengguna Google,6 Maret 2018,5,mudah mudahan lebih maju lagi
Pengguna Google,#############,5,Bagus
Fatrawaty Baruadi,25 Juli 2020,5,Bagus
Priska Fauziah,4 Maret 2018,5,Sip
Pengguna Google,#############,5,Saya suka
Dokter Custom_part,#############,5,mantap
Mahanani Nurkinasih,#############,1,"Kenapa sekarang tiktok eror, saya tidak bisa follow orang bahkan adik saya tidak bisa buat akun tolong diperbaiki ya"
Yayang Sanggita Oktaia,#############,1,Saya kecewa .. Pesen barang di tiktok shop padahal sudah transfer pembayaran tapi di pemberitahuan tiktok belum terkonfirmasi pembayaran padahal nomer rekening sesuai tujuan alhasil uang saya hilang
Pirgo Siregar,4 Maret 2020,5,Sangat mantap
Saipul Anwar,18 Mei 2020,5,Seru videonya
Pengguna Google,#############,5,Good banget
Cia HH,#############,5,Good l like it
Pengguna Google,30 Maret 2018,5,Aku suka sekali dengan mainan ini
Rismot Frdy,#############,5,FYP IN GUA TERUS POKOKNYA
Ayu Fitriani,#############,5,Makasih ya aku suka dengan aplikasi ini 😊
Mariah S.Ag,23 Oktober 2020,5,Bagus kok
Agong RT,2 Juli 2021,1,Aplikasi apa ini? Semakin kesini semakin tidak jelas.. Bukanya di kembangin malah di updete semakin tidak jelas aja
Pengguna Google,13 April 2018,5,aku suka tiktok karna efeknya bagus
Faizal Reza Hasibuan,3 Juli 2021,1,Kasian lihat anak sekarang. Makin rusak dan tidak tahu malu
Via Yohana,#############,5,Bagus banget
Saneman Binsalim,#############,5,bagus banget
Nauva layla,#############,5,Menghilangi bosan
teddy susanto62,#############,5,Bagus
Angel Ina,2 Maret 2018,5,Bagus
Aulia Margareta,12 Januari 2021,5,"Simpel, aku suka TikTok"
Nabila 101125,#############,5,Aku suka sama ini
Pengguna Google,#############,5,Bagus
Icaaa anak baik,4 Januari 2021,5,"Sejauh ini menghibur, semoga lebih cepat tanggap lagi mengenai laporan dari user mengenai content creator yang menyimpang"
Neng Yaya,#############,5,Aplikasinya bagus banget banyak fiturnya lagi
Pengguna Google,#############,5,saya sangat senang mempunyai aplikasi tiktok
Siti Nur kholifah,27 Juni 2020,5,Sangat menghibur apalagi saat kondisi pandemi ini.
Sad Boy,#############,1,aplikasi pembodohan
