Nama,Tanggal,comment,Label
Dani Yati,31 Juli 2021,Bagus banget TAPI bohong HAYUK APLIKASI INI JELEK KARENA BAK KAUM PEREMPUAN YANG MENYEBAR AURAT YANG HARUS DITUTUP,Negatif
Dzaky Taqwara,27 Juli 2021,Aplikasi bagus banget apa lihat ke bawah sudah gue bilang bagus,Positif
dino hitam nibos,6 Agustus 2021,woi siapa si pembuat aplikasi tiktok aplikasi bagus banget,Positif
Zank Ard,7 Agustus 2021,"GBHNGNVMAPYTT Masukan kode yang di dalam kurung ini untuk pengguna yang baru instal tiktok,di jamin bisa dapat 120.000 cash,untuk pengguna baru",Positif
Muhammad Dwi Prastiyo PRAS,31 Juli 2021,Aplikasi ini bagus sekali....,Positif
RIZKI GUSTI GAMING,29 Juli 2021,Tiktok buat saya terkenal wajib download  kenapa masih lihat bawah,Positif
Putra pemas Permas,3 Agustus 2021,aku nyesel banget pilih aplikasi ini Tapi bohong aplikasi ini bagus banget,Positif
Muhammad. Rafi Haikal,2 Agustus 2021,Aplikasi ini sangat bagus,Positif
Khoirul Fathoni,4 Agustus 2021,Aplikasi bagus buat menghibur bila gabut donwload aja tiktok sangat sangat bagus kenapa lihat lihat ke bawah kan sudah di bilang bagus,Positif
Abu Zaky,2 Agustus 2021,Halo nama saya asep,Negatif
1Zakaria,5 Agustus 2021,"Jujur saya pengguna tiktok yang pasti setiap hari buka, tapi tolong tiktok pembatasan karakter comment itu jangan dikit banget, kalau 200 doang lu nyusahin orang hidup untuk mempaikan sesuatu, tolong tambah minimal ya jadi 500 karakter di ini aplikasi PlayStore ini, dan tolong saya sumpah ...",Negatif
Legacyfx.,25 Juli 2021,"Kenapa akun saya di ban, padahal sudah mau 100 followers gua sudah follow bak orang dengan gampang kau ban, tolong untuk pihak tiktok segera mengembalikan akun saya Nama akun Areli|Evan. Tolong untuk pihak tiktok mengembalikan akun saya, saya sudah memai semua aturan, sekali lagi mohon kembalikan ...",Positif
Sifha Sifha,29 Juli 2021,Aku suka sama tiktok aplikasi bagus banget...,Positif
Dari Doang,5 Agustus 2021,ini jelek canda ?????????????????????????????????????????????????? kenapa lihat kebawah kan kata aku bercanda,Positif
kurnia cwantwix,15 Juli 2021,"Dulu saya sepakat anak saya aktif di tiktok, anak bisa mengembangkan bakat dan imajinasi disini. Tapi sekarang, rasa ingin saya hapus aja aplikasi. Sama sekali enggak pantas untuk semua kalangan. Bak konten porno. Sudah saya laporkan, tapi tanggapan malah ""tidak melanggar panduan komunitas kami"".",Negatif
Muhammad Jurais haq,19 Juli 2021,"Ada bug. Barusan saya salin link video, terus saya kirim ke temen, nah pas temen saya buka video  dari link yang saya salin tadi, video beda dari video awal yang link saya salin tadi. Mohon untuk segera di perbaiki. Karena agak annoying.",Negatif
Raisya Aulia Fitri,6 Agustus 2021,"Umm hai, kenapa ya sudah 3 hari ini lag? Video  tidak bisa di putar padahal jaringan internet saya baik baik saja, tolong di perbaiki ya^^",Positif
Anik nadya,18 Juli 2021,"Aplikasi tiktok ini menghibur banget sih, pas lagi bosen"" gitu buka aplikasi tiktok ini terhibur dan jadi tidak bosen lagi, apa lagi pas tidak ada mood untuk beraktifitas buka apikasi tiktok mood jadi balik lagi. Pokok tiktok terbaik . Tapi aku saranin untuk kalian jangan keseringan buka tiktok,main hp",Positif
Salsa Billa,21 Juli 2021,"Aplikasi super duper bagus,ini benar benar menghibur,kalau misal sedang sedia kalian wajib download ini dijamin bahagia,bak konten-konten bermanfaat,menghibur,dan pasti ada yang horor juga dong.Pokok kalau kalian download enggak bakal kecewa",Positif
Percoken Indra,5 Agustus 2021,"Enggak jelas system panduan komunitas, kata enggak boleh upload yang berbaur kejahatan, kekerasan dan konten sexsual. tapi bak  yang masih bak konten yang menonjolkan t*t*k dan m*m*k masih aman2 aja.kok gak dihapus, gua yang upload video biasa2 aja di hapus dan dibanned kontol. Konsisten dong.",Negatif
Irfan Lubpi,4 Agustus 2021,Tolong bantu reset kata sandi saya . Hapus email dan no hp yang terkait di akun saya . sebab akun saya telah di retas oleh orang lain . dan sekarang saya tidak bisa login . tolong bantuan  . semoga ada tanggapan . username PITEKLUBPI,Positif
M miftakhur Zaqi,8 Agustus 2021,Hallo admin tiktok saya sangat menyukai aplikasi ini saya sudah aktif di tiktok dan Alhamdulillah hasil yang aku dapat kan bak sekali mulai dari like video bak follower bak aku ingin banget verified,Positif
Zaqiyatuz Zahro,8 Agustus 2021,"Tolong ya saya sudah pencet not interested ke beberapa video tapi makin bak yang muncul di fyp saya. Tolong buat command ""not interested."" Itu berguna. Btw akun saya qiyaaw",Negatif
Sans01,7 Agustus 2021,SEMOGA POSTINGANKU FYP TERIMAKASIH,Positif
Jhnna.,7 Agustus 2021,Jujur ya kesel banget kenapa sih tiktok setiap aku login akun pasti di blok sudah 4 akun saya di blok saya sangat kecewa padahal dulu akun saya baik baik saja tapi kenapa sekarang seperti ini padahal saya baru login di akun saya saya belum buat pelanggaran apa apa tapi langsung di blok,Negatif
Sami Aji,21 Juli 2021,Halo devoloper tiktok... mohon saran.. kalau boleh sih.. misi putar point di perlancar dong sedikit sedikit.. jangan cuma 7 hari aja.. agar pada betah akun ... enggak pindah pindah... sekian terimakasih.. semoga dapat di kabulkan.. amiiin.,Positif
HARDI ARDIANSYAH,25 Juli 2021,Admin TikTok yang SANGAT tidak kompeten saya rasa. kerjaan  ngeBlokir akun akun yang dilaporin pihak tertentu dengan alasan melanggar panduan ... harus admin TikTok bisa membedakan mana konten yang melanggar mana konten yang tidak disukai karena selera orang... karna dilapangan bak sekali konten.,Negatif
BONAY YUNI,28 Juli 2021,"Woyy Admin tiktok seluruh jabodetabek tolong dong masukin ke fyp/untuk anda konten-konten saya ke orang lain bolangg_cibuburjaktim.98 saya sudah main tiktok dari 2015 sampe sekarang konten-konten saya jarang banget masuk fyp/untuk anda konten-konten saya ke orang lain, selagi tolong masukin ya.",Positif
Saghrillah Rahma,8 Agustus 2021,Sip. Dulu agak gimana gitu pakai tiktok. enggak mau download. Setelah coba terta malah lebih bak edukasi trik dll yang bermanfaat yang ditampilkan di fyp. Thanks tiktok untuk inovasi luar biasa,Positif
Alif aditiya,17 Juli 2021,Bagus banget Game pokok seru ...,Positif
Aminah aminah,7 Agustus 2021,Saya merasa terhibur dengan ada tiktok kadang saya penat bosan dengan pekerjaan yang melelahkan saya hibur diri saya dengan buka tiktok sekaligus memperbak teman dan saudara😊,Positif
Resla Zety,23 Juli 2021,"Aku suka aplikasi tiktok karena tempat curahan hatiku,,selain itu menambah bak teman dan saudara,,,terima kasih tiktok",Positif
Suchrisno Ajah,8 Agustus 2021,Kecewa sama developer tiktok bikin system tidak bisa bedain akun real atau palsu Yang real susah masukin kode lebih baik gedein coin kehadiran sama koin nonton aja jangan revisi kalau tidak bisa bedain mah,Negatif
Rika Dedek,5 Agustus 2021,Aku senang bermain. Tiktok ini lah hiburan yang tidak membosankan selalu ada versi terbaru untuk filter terus nambah pengalaman juga,Positif
Hanzz,2 Agustus 2021,"Bagi yang enggak ada tiktok koin, lu pakai akun alamat Amerika tidak, jadi enggak ada koin...",Positif
Vicky Adi,5 Juni 2021,"Kenapa saya tidak bisa memasukan kode undangan, padahal saya kan pengguna baru, pertama keluhan adalah tidak lolos control penipuan, keluhan kedua kesalahan jaringan harap coba lagi. Itu saja keluhan. Mohon diperbaiki dong pihak tiktok",Negatif
Maharani Aulia Rahma,15 Juli 2021,Kok enggak ada tanda koin ya? Pertama tama ada lama lama hilang gimana sih padahal sudah ada koin 😭,Negatif
Brunu Cabang,3 Juni 2021,"Jelek sekali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,...................................................................??????????????????????????????????????????????????????????????????????????????????????????????????????????tapi bohong hayuk",Positif
Nafisa putri,5 Agustus 2021,Jelek banget dong tapi kembali terus tolong ya yang nyiptain tiktok tolong di perbaiki ok,Negatif
Menma,25 Juli 2021,"Aku mau ta kok, tidak bisa aku pakai kaya kaset kalo dibuka",Positif
Pembangunan NKRI,18 Juni 2021,Kenapa sangat sulit memasukkan kode undangan. Pengguna baru kecewa untuk kebajikan tiktok . 😓 Lebih baik besarkan hadiah menonton dari pada undang teman sudah dibagikan kode undangan tetapi tetap tidak lolos kontrol penipuan .,Negatif
طالب,26 Juli 2021,"Bagus sekali aplikasi tiktok ini, di saat aku sedih senang, aku bikin tiktok",Positif
Hindun Sulistiyowati,21 Mei 2021,"Apa iya aplikasi tiktok ini bisa menghasilkan uang,? Klau emang bisa gimana cara melihat dan gimana cara mengambil,? Tolong yang paham dijawab ya Terimakasih😍",Positif
Mira Asmara,25 Juli 2021,Semoga tiktok digunakan untuk kebaikan jangan joget berlebihan,Positif
novika laura,23 Juli 2021,"Mana ini admin kok enggak ada yang dibalas keluhan, apakah uang sudah habis?",Negatif
Denilson Dsb,24 Juli 2021,Kurang bagus kenapa saya bilang kurang bagus karena tidak bisa Download video jadi diperbaiki lagi ya 😁😁😁😎😄😄😄😄😄😁😁😁😄😁😁😄😁😄😁😄😁😄😁😄😁😁😄😄😁😁😄😁😄😄😁😄😁😄😁😄😁😄😁😄😁😄😁😄😁😄😁😄😆😄😆😄😄😆😄😆😄😆😄😆😄😆😄😁😄😁😄😁😄😆😄😆😄😆😄😁😄😁😄😁😄😁😄😆😄😆😄😆😄😆😄😆😆😄...,Negatif
Kecoa Loncat,25 Juli 2021,Untuk pemula lumayan tidak sulit untuk menggunakan aplikasi ini menghibur,Positif
Siti Nuryanti,4 Agustus 2021,Tiktok bagus bisa menghibur semua orang,Positif
Tandi Saputra,31 Mei 2021,"Kemana koin, kok tiba tiba hilang begitu saja? Setelah saya instal aplikasi tiktok lite . Saran itu aja aja keluhan",Positif
Ucu Mencrang,6 Agustus 2021,"bagus pokok mah,, gak bkalan rungkad kalo dah kenal dunia pertiktokan mah 😁😁",Positif
Tio 123,27 Juli 2021,Woy anjing kenapa gua gak bisa daftar goblok padahal kalo bisa gua kasih bintang 5 tiktok goblok,Negatif
Diana Nova,7 Agustus 2021,Bagus dan bisa menghibur makasih tiktok,Positif
ica marysa Risnandar,19 Juli 2021,Semoga lebih baik. Untuk rakyat.sebangsa & senegara.,Positif
CAMELIA TV CREATOR,9 Juli 2021,Tolong dong koin hadir sama nonton 4O menit adakan lagi... Jangan event undangan terus yang di besarkan.. Gara gara kode undangan bak yang bikin akun palsu untuk curang Dan bug.. Akibat kita yang akun original selalu error dan dikira akun penipuan,Positif
MiladNairoukh Milla,25 Mei 2021,"Aku beri bintang 2 aja dulu,heran aplikasi pu ku ,ko filter x ,bak yang enggak bisa dipake sih. Tolong jawab ????",Negatif
SuMi SUMI,31 Mei 2021,Aku ksih bintang lima aplikasi ini bisa membuat aku kenal dengan semua orang walaupun enggak .berhadapan .pertama aku posting aku duet dengan orang yang ditiktok aku dapat views 2319 😊🇵🇱🇦🇪,Positif
Air Eti Rohaeti,2 Agustus 2021,Alhamdulillah aku dapat ilmu yang bermanfaat 🙏🙏🤗🤗,Positif
Aryangga 599,18 Juni 2021,"Terima kasih tiktok, aplikasi yang bagus bisa lihat kayes joged"" dan cewek lai, live streaming  juga mantap mantap kurangan mereka pakai BH aja tiktok terima kasih ya ....",Positif
Yohana Paulina,22 Juli 2021,Kok ini enggak bisa download gimana ini tolong diperbaiki ya mohon kerja sama,Positif
Syahrul Hidayat,16 Juni 2021,"Kenapa ya tiktok kalo sudah di posting video agak buram? Padahal di galeri sudah bagus, tapi setelah di post jadi buram gak jelas",Negatif
Alvina Dmynty,22 Mei 2021,Kenapa aku mau masuk akun ku lagi gak bisa?alasa kata sandi salah padahal sudah bener. Tolong diperbaiki balikin akun aku lagi nama akunku alxxz3 Tolong segera diperbaiki Terimakasih,Negatif
Yani Maryani,6 Agustus 2021,Keren banget bikin terhibur😘😘😘I love u tiktok,Positif
Sityai Sumyati,7 Agustus 2021,Sangat memuaskan bagus sekali,Positif
Albar Muhammad,12 Juni 2021,"ibarat sebuah pisau, baik dan buruk tergantung user ....alhamdulilah tiktok memberi bak ilmu dan pengetahuan sekaligus hiburan",Positif
Elly Mho,29 Juli 2021,Suka banget bisa nambah teman juga,Positif
Manches Man,19 Juli 2021,tiktok ini menghibur banget kalian harus download sekara juga,Positif
Bayu DharmaTrinanda,12 Juli 2021,"Terimakasih tiktok,karena hiburan diaplikasi ini membuat pekit saya mulai membaik dan saya juga sudah bisa",Positif
Wahyu Somo95,5 Agustus 2021,Menyenangkan dan menghibur,Positif
Indah Indah,9 Juli 2021,"Tidak muncul logo koin, sudah di restart berkali kali tapi tetap tidak bisa",Negatif
bujang merana,26 Juli 2021,sudah dikasih bintang sekaligus 5,Positif
Vhina Afrillya,19 Juli 2021,Saya kasih bintang Lima tolong perbaiki tiktok saya dan beri koin,Positif
Dedy Arisandy,17 Juli 2021,Saya kasih bintang lima tapi tolong perbaiki dimasalah saya ada yang kurang tentang coin dan undangan. makasih,Positif
Ridwan ARFN,26 Juni 2021,Sangat buruk.. saya mencoba menonton video lama tetapi tidak mendapatkan point hasil menonton sudah sering seperti ini..,Negatif
Ummy Demariz,29 Juli 2021,Terhibur bak ilmu yang kita dapat 🥰🥰🥰,Positif
Sandi Ahmad Yusup,13 Juli 2021,"belum pernah fyp, mudah2 fyp  sudah kasih bintang 5 piraku my tiktok priabaik__",Positif
Ende Lilis,20 Juli 2021,Sangat bagus dan disukai bak orang,Positif
Putra _Syu,29 Mei 2021,Saya kasih bintang 5 karena aplikasi ini sangat menghibur dan informasi-informasi yang update saya dapat kan dari aplikasi ini,Positif
Priska Nora,5 Juni 2021,Keren bet sih ini maaf ya sudah enggak tau bilang apa yang penting aku kasih bintang 5 karena aplikasi favorit ku😉😉😉,Positif
Ali Mudhofir,21 Juli 2021,Lumayan buat peluran bakat,Positif
Tara Tera,7 Agustus 2021,Saya kasih 3 bintang dulu baru mau coba kalau Ok saya tambah lagi bintang,Negatif
lina lovers,28 Juli 2021,Aplkasi paling keren menurut aku 💜💜,Positif
Vicenti King M'1,15 Juli 2021,"Aplikasi ini bagus banget, sangat bermanfaat?????",Positif
Muhammad Fauzi,21 Juli 2021,Lo kok ngapus komen gua kemaren enggak terima apa hah,Negatif
Aldy Hilman,28 Juli 2021,Menjadi tau yang belum pernah saya tau makasih tiktok,Positif
Rita Soares,16 Juli 2021,Hallo nama saya Graça saya ha mau bilang kalo aplikasi ini bagus😊👍kasih 5 bintang yah,Positif
Binsay Queen,13 Juli 2021,Saya sangat suka aplikasi ini dapat menghibur dan bak juga info info yang positif ❤👍,Positif
Nengsy Marlita,22 Juli 2021,Tanda koin hilang padahal koin sudah bak.,Positif
Djzait Fishing,3 Agustus 2021,Koin hilang sendiri gimana ni,Positif
Deny Kinger's,5 Agustus 2021,Saya beri bintang lima,Positif
Cu Bayu,27 Juli 2021,Kembalikan Event Nonton 40 Menit,Positif
ils su,27 Juni 2021,Yang penting happy. Dan tidak merugikan orang lain.... Selalu bikin tersenyum bersama tiktok😘,Positif
Neng Heni,2 Agustus 2021,Alhamdulillah aplikasi keren dan bagus,Positif
Budi wibowo87,26 Juli 2021,Saya seneng pokok,Positif
Ida Indonisia,2 Agustus 2021,Aplikasi sangat bagus,Positif
Elis Warsih,27 Juni 2021,Terima kasih tiktok saya ada untuk hiburan tidak mumet lagi dan jadi bak teman teman terima kasih 🙏🙏🙏🙏🙏,Positif
Rizki Rizki,29 Juni 2021,Sangat bagus dan menarik sukses terus dan beri pendapatan bagi orang yang tidak mampu,Positif
y Marlion13,21 Juli 2021,Aplikasi bagus banget,Negatif
Wulan Sari,20 Juni 2021,Assalamualaikum.. Saya ingin coba .pakai aplikasi tiktok ingin bisa ..Tapi bagus ya🙏🙏,Negatif
ochienk thulend159,12 Juli 2021,Bagus dan sangat membantu,Positif
Marlina Uneng,30 Juli 2021,Asik banget tiktok gua suka🙏,Positif
KEMAL RAMDHANI,14 Juli 2021,aplikasi keren untuk hiburan,Positif
Mas Bocor,21 Juni 2021,Aku kasi bintang 3 dulu karna akun aku yang dulu terkena blokir aku mohon pulihkan akun aku yang dulu baru aku kasi 5 bintang,Negatif
Yuyun Yunengsih,29 Juli 2021,Sangat memuaskan,Positif
Navya Nathania,19 Juli 2021,Aku suka tiktok,Positif
Ayu Astuti,1 Juli 2021,Terima kasih tiktok jadi saya ada hiburan di saat saya sedih ataupun sebalik,Positif
whatever you think,18 Mei 2021,Kenapa tiap saya bikin akun tiktok foto profil saya selalu dihilangkan dengan alasan ada pelanggaran???,Negatif
Nunung Yuningsih,3 Agustus 2021,Sangat menghibur👍,Positif
ALKALIN ACHMAD,12 Juni 2021,Cari angka 0999999999999999999999999999999990999999999999999999999999 999999999999999999999999999999999999999999999999999999999 9999999999,Positif
Ferby Ansyah,25 Juli 2021,Dark Mode jadi tidak ada,Negatif
Moga Sukses,2 Agustus 2021,Cuman suka aja,Positif
Wahyu Durahman7781,2 Agustus 2021,"Lumayan menghibur,😉😉😉",Negatif
Zwleikya Amaral,19 Mei 2021,Aplikasi ini bagus dan bisa ngehibur kita cepetan download aplikasi ini,Positif
Elly famell Famell,14 Juli 2021,Tiktok bak informasi,Positif
noor noor,5 Agustus 2021,saya suka banget,Positif
Hilmi Hafidzz,28 Juli 2021,Fyp kadang kadang,Positif
Ananda Vergiawan,2 Juni 2021,Iklan ini aplikasi jangan terus-terusan. iklan ini terus keluar😡 ganggu aja,Negatif
Bunda Evie Tahir,14 Juni 2021,Tiktok menyediakan wadah bete hiburan di masa pandemi ini,Positif
Arman Gulo Channel,20 Mei 2021,3 bintang aja dulu soal koin event gak muncul diaplikasi Kalo sudah muncul saya kasih 5 bintang bila terperbaiki,Negatif
Muhamad Aimarrizky,16 Juni 2021,Sayang aplikasi tiktok yang bisa dapat duit di luar negeri enggak bisa,Positif
Arlond Christensen,31 Mei 2021,"Logo koin tidak muncul , padahal saya user baru . tolong diperbaiki lagi.",Negatif
RakaBego_,11 Juni 2021,"Aplikasi sudah bagus , cuman bak pengemis minta2 point tiktok wowkwoowok . miskin amat jadi orang ~ mbak rosting",Positif
Hh Hh,7 Juli 2021,"Saya sebagian dari penonton tiktok,tiktok yang membuat saya tersenyum",Positif
Afef Pudin,14 Juli 2021,Tiktok bisa bertukar informasi sesama kawan kita,Positif
Rahmat Rahmat,16 Juni 2021,Bagus..tapi yang saya cari enggak ada poin enggak muncul kenapa ya..,Positif
Marsitha Kusnadi,16 Juni 2021,"alhamdulillah, sangat menghibur,,, bagus",Positif
Duyeh Iyenk,11 Juni 2021,Kasih yang terbaik buat aku ya. jangan sampai kecewa,Positif
War Wer,31 Mei 2021,Semoga setiap konten yang gue bikin selalu FYP yaaa 🥰🥰,Positif
Play Station,13 Juli 2021,"Baik, dan menghibur, bisa buat silaturahmi 🙏🙏",Positif
Tina Oman,8 Juli 2021,Maaf dulu yah aku kasih dua bintang karna tiktok agak lemot,Negatif
Ella Nor elaa,6 Juni 2021,Aplikasi tiktok ini sangat bagus dan bisa menghibur.😀,Positif
Nick Fashion Store,8 Juli 2021,"sudah lama sih menggunakan aplikasi ini cuman sering masuk kleuar, cuman yang jadi pertaan ,gimna iya & menggunakan aplikasi apa gitu biar kita bisa editin video yang kita bikin ditiktok bisa dislow gitu",Positif
Lindasari Lindasari,20 Juli 2021,Sangat membantu,Negatif
UPE GAMING,14 Juni 2021,Aplikasi kadang ilang kadang ada icon misi dan coin jadi malesin,Negatif
Alya Pahrudin,19 Juni 2021,"Bagus seru seklai aplikasi tiktok,,,, terima kasih....",Positif
Ridho Ichani,5 Juli 2021,"sampah event makin susah, mana event tidak muncul lagi",Negatif
abah deon99,5 Juni 2021,"Nice, sebaik konten hoax dan provokasi dari akun kreator diblokir/suspend",Negatif
Bunda Dillah,30 Juni 2021,Aku kasih bintang 5 tapi please bagi yang menggunakan tiktok kurang sopan dan tidak seru please langsung blokir  .makasih 🙏🙏🙏,Positif
Tanti Triani,24 Mei 2021,bagus aku kasih 4 bintang soal tiktok pu ku belum bisa duet,Positif
Dia Sayang,13 Juni 2021,Beri solusi tentang kotak kado tiktok tidak mau muncul,Positif
TRAFARDHAN SYAHREZA,15 Juni 2021,Bintang 1 dulu karna saya belum bisa memasukkan kode dan enggak ada misi sama sekali,Negatif
Febri Putra andespari,28 Mei 2021,"Gimana, logo koin untuk memunculkan point tidak ada?",Negatif
Aw,30 Mei 2021,Kenapa saya setiap pasang foto profil selalu hilang,Negatif
Khor Fkhan,28 Juli 2021,Bagus sekali,Positif
Yabes Aritonang,29 Juni 2021,Aplikasi ini sangat rekomen bagus buat kita kita,Positif
Lastiara Putri,3 Juli 2021,"Kok akun saya enggak bisa di buka sudah di cs enggak dibalas""",Negatif
FATMIN PALESO,28 Juli 2021,Boleh... bisa menghiburku,Positif
Desty Harisandi,30 Mei 2021,Aplikasi yang sangat bagus juga menghibur😍😍😍😍,Positif
Erin Karama,15 Juli 2021,Seneng bikin hiburan luamayan aku terhibur,Positif
Fauzan Official,25 Mei 2021,"Makasih, Tiktok Bagi aku ini aplikasi berguna🙏",Positif
Bingong wedos,12 Juli 2021,Bagus ada cewek cantik yuhuuuu,Positif
Putra sunda vloge,27 Juni 2021,Mantap kejenuhan setiap orang bisa terobati dengan aplikasi ini,Positif
Deni Pazar,19 Juni 2021,kenapa penarikan uang saya gagal mulu sudah 3hari ini,Negatif
Si Kenzo Kece,5 Juni 2021,Kalo bagus aplikasi ini saya tambahkan bintang 😊😊,Negatif
Muhammad Muthawwally,18 Juli 2021,Aplikasi pemersatu bangsa,Positif
IMEL 999,19 Juli 2021,Sangat bagus Semoga tiktok gua bukan cewe4 bakal fyp,Positif
Aditya Febriawan,9 Juli 2021,Seru bikin ketawa sendiri,Positif
Wagi Man,10 Juni 2021,Setelah di perbarui misi menonton tidak muncul,Negatif
Noor Aini,21 Juni 2021,Saya merasa terhibur dengan ada tiktok,Positif
suarah Channel,28 Mei 2021,Kenapa tiktok sekarang jelek sih tolong diperbaiki.,Negatif
Santo santo Santo,17 Juli 2021,bagus banget buat nemenin saat gabut,Positif
Rachmad ivan Riyandi,25 Mei 2021,MAAF INI KENAPA TIDAK BISA DI UPDATE?,Positif
Jony dana Dos Santos,21 Juli 2021,tiktok sangat membantu untuk meyegarkan,Positif
Hamida Hamida,25 Juli 2021,Pokok hiburan ku lah,Positif
Asia Chan,15 Juni 2021,"Sangat luar Biasa Saya suka""😊😊",Positif
Warini Tato,27 Juni 2021,Sangat menghibur dan menghilangkan lelah,Positif
روز,15 Juli 2021,Sumpah aplikasih tiktok ini memuaskan banggat 🤗🤗sumpah enggak kecewa dah🥰🥰🥰❤❤❤❤😘😘😘😘😘,Positif
Rio Aldy,27 Mei 2021,Aplikasi ini tidak membayar jangan di downlod,Negatif
Ngumpul Balong,8 Juli 2021,ini keren banget lo,Positif
Zhank Vengeance,5 Juli 2021,lebih baik snack video penarikan gampang gak susah misi gampang gak stak 5menit terus,Negatif
Bunga Kamboja,7 Agustus 2021,Makasih lebih baik. lagi,Positif
Asli Uber,5 Juli 2021,Sangat suka Tiktok untuk yang suka Tiktok semoga sukses dan sehat selalu Dimudahkan rejeki Aminn🙏,Positif
abdul mazid,8 Juni 2021,Kenapa saldo tiba2 hilang...di cek transaksi semua kosong,Negatif
Riwandi Alfiqri,26 Juni 2021,Inti Gaseasik Dulu Ngerti kau sayang?,Negatif
chinta suci,11 Juli 2021,wah terhibur banget dengan aplikasi ini buat hiburan cocok😘😘😘,Positif
Merry Galby,8 Juli 2021,Bagus tapi sayang Live aku di blokir,Positif
Medi Suhendra,29 Mei 2021,kenapa pu saya tidak ada gambar RP,Negatif
Tirani Dwitasari,10 Juli 2021,Mempererat tali silaturahmi,Positif
AULIA NISSA OFICIAL,9 Juni 2021,Padahal cuma posting biasa tapi kok bilang pelanggaran aneh,Negatif
Syiful Rhamdany,28 Juni 2021,Saya tidak begitu suka dengan tiktok,Positif
REL_ FPGM,3 Juli 2021,viewers akun saya ngestuck mulu njer di 400/500 penonton,Positif
Aku Wanita,29 Juli 2021,Makasih tiktok.. Mantappp..,Positif
SaprooL Danki,26 Juli 2021,Aku sangat menyukai tiktok,Positif
Muhammad Rahman,10 Juni 2021,Kok nonton malah enggak dapat Rp.... Parah lu min,Negatif
ARCIKO 7777#,5 Juli 2021,EPEP YANG MAU IKUT SERTA DI ONLINE,Positif
alayibi Heru,26 Mei 2021,Sangat menghibur tetap bekarya dengan karya tersediri,Positif
Gegutu Reban,24 Juni 2021,Kenapa enggak bisa masukin kode padahal sudah ganti hp dan akun gimana sih cara 😔😔😔,Negatif
Taufiq JR11,31 Mei 2021,FXDA6F2JWPWW3 mendapatkan 100.000 koin,Positif
STM OFFICIAL,30 Juni 2021,Susah Untuk Mendapatkan Koin,Negatif
Mitho Tilman,21 Mei 2021,Saya suka sekali tiktok 😊💪,Positif
nur aisah aisah,21 Juni 2021,Nyobain dulu kalo sukses bintang lima makasih,Negatif
Dragon Dragon,28 Juni 2021,"Waw aplikasi mantap, tapi bohong",Positif
Merna Lovely,9 Juli 2021,Bagus bisa menghibur saat sendiri,Positif
pipit Jubaidah,26 Mei 2021,Bagus untuk hiburan buat saya,Positif
Nadya Princes azmy,11 Juni 2021,kenapa efek glow gak ada di tiktok ku ya😭😭😭😭 semua jadi burem. smua efek gak ada,Positif
Riski Ajisaputra92,30 Mei 2021,Untuk saat ini baik baik saja,Positif
Nurul auralia,25 Juni 2021,Bagus pokok mah,Positif
Jalak Ikal,9 Juni 2021,Mantap...mudah digunakan.,Positif
-_-,4 Agustus 2021,Terbaik dalam menghibur,Positif
Semhadi 04,31 Mei 2021,Cara mendapatkan uang,Positif
alden nadhif,15 Juni 2021,akun ku di blokir norak jangan di unduh ya,Negatif
Muhibbin Imam,19 Juni 2021,Semoga semakin mantap,Positif
Before Sinchan,12 Juli 2021,enggak ada yang enak😞😞,Negatif
Dimas Suryadi,21 Mei 2021,Lanjutkan Prestasimu Nak,Positif
Deonito 07,29 Juni 2021,tiktok memang bagus,Positif
Alexa Costa,18 Juli 2021,Koin 3 ko enggak bisa keluar,Negatif
Nur Asiyah,23 Mei 2021,Aku main tiktok. bisa menghibur. dan bayak temen..,Positif
Fitria ria,22 Mei 2021,Semoga bisa berkarya,Positif
Yuyun susanty,12 Juni 2021,Piknik cari pengalaman,Positif
Rani Gs,11 Juli 2021,Suka banget main tiktok,Positif
Sumanto Wanto,18 Juni 2021,Pengalamaman saya masih cetek,Positif
darsih edah,12 Juli 2021,bagus dan menghibur,Positif
Gianto Sugik,18 Mei 2021,Postingan susah masuk beranda,Negatif
fatimah ilyas,8 Juli 2021,Bagus buat hiburan,Positif
Wahdah Wahdah,22 Juni 2021,Sangat bagus dan menghibur,Positif
oka astina,4 Juli 2021,Logo bonus tidak muncul,Negatif
Epifania Lobo Pinto,11 Juni 2021,Aplikasi ini sangat menarik,Positif
Saepudin 2020,27 Mei 2021,Saya kasih bintang 2 dulu ya,Negatif
Hadi Putro,30 Mei 2021,Bagus buat hiburan,Positif
TRISNAWATI,12 Juli 2021,kalo bagus ku tambah bintang lagi,Negatif
momi aziza88,26 Mei 2021,Bagus buat hiburan,Positif
Inna Aparicio,6 Juli 2021,Aplikasi ini sangat bagus dan menarik,Positif
Toni Iskandar,24 Juni 2021,Jaringan bagus memuat terus jadi hapus aja,Negatif
Can Made,24 Juni 2021,Ada video video gila,Positif
Nur Aini,18 Juni 2021,poko tiktok indah but hiburan,Positif
Juan saputra,12 Juli 2021,Kok koin enggak ada,Negatif
lintang ekarysti,26 Juni 2021,Kok logo koin enggak ada ya,Negatif
Dh Dh,18 Juli 2021,Bagus sekali,Positif
Fifty Shades,21 Juni 2021,Semoga ada event lagi yaa,Positif
Noor 5q1,8 Juli 2021,Aplikasi bagus,Positif
